Region,ContracType,FY,CY,Month,Interval_date,period_30,Scenario,price_real_$,base_dwp,solar_dwp,wind_dwp
TAS,Energy,2030,2030,1,1/01/2030,all,Central,107.64,100%,88%,93%
TAS,Energy,2030,2030,2,1/02/2030,all,Central,85.71,100%,85%,94%
TAS,Energy,2030,2030,3,1/03/2030,all,Central,82.16,100%,86%,93%
TAS,Energy,2030,2030,4,1/04/2030,all,Central,57.98,100%,111%,105%
TAS,Energy,2030,2030,5,1/05/2030,all,Central,39.06,100%,111%,117%
TAS,Energy,2030,2030,6,1/06/2030,all,Central,78.09,100%,93%,97%
TAS,Energy,2031,2030,7,1/07/2030,all,Central,105.12,100%,95%,91%
TAS,Energy,2031,2030,8,1/08/2030,all,Central,87.02,100%,94%,89%
TAS,Energy,2031,2030,9,1/09/2030,all,Central,73.38,100%,99%,91%
TAS,Energy,2031,2030,10,1/10/2030,all,Central,99.36,100%,98%,94%
TAS,Energy,2031,2030,11,1/11/2030,all,Central,75.74,100%,107%,93%
TAS,Energy,2031,2030,12,1/12/2030,all,Central,75.88,100%,93%,93%
TAS,Energy,2031,2031,1,1/01/2031,all,Central,94.09,100%,96%,91%
TAS,Energy,2031,2031,2,1/02/2031,all,Central,75.97,100%,86%,94%
TAS,Energy,2031,2031,3,1/03/2031,all,Central,72.47,100%,93%,93%
TAS,Energy,2031,2031,4,1/04/2031,all,Central,50.48,100%,95%,105%
TAS,Energy,2031,2031,5,1/05/2031,all,Central,41.24,100%,97%,107%
TAS,Energy,2031,2031,6,1/06/2031,all,Central,70.02,100%,101%,96%
TAS,Energy,2032,2031,7,1/07/2031,all,Central,104.22,100%,104%,91%
TAS,Energy,2032,2031,8,1/08/2031,all,Central,87.04,100%,97%,91%
TAS,Energy,2032,2031,9,1/09/2031,all,Central,74.02,100%,84%,93%
TAS,Energy,2032,2031,10,1/10/2031,all,Central,100.89,100%,96%,90%
TAS,Energy,2032,2031,11,1/11/2031,all,Central,80.43,100%,96%,96%
TAS,Energy,2032,2031,12,1/12/2031,all,Central,73.37,100%,94%,97%
TAS,Energy,2032,2032,1,1/01/2032,all,Central,95.22,100%,94%,93%
TAS,Energy,2032,2032,2,1/02/2032,all,Central,80.3,100%,87%,90%
TAS,Energy,2032,2032,3,1/03/2032,all,Central,80.15,100%,95%,92%
TAS,Energy,2032,2032,4,1/04/2032,all,Central,53.64,100%,90%,102%
TAS,Energy,2032,2032,5,1/05/2032,all,Central,46.35,100%,109%,106%
TAS,Energy,2032,2032,6,1/06/2032,all,Central,70.13,100%,109%,95%
TAS,Energy,2033,2032,7,1/07/2032,all,Central,120.06,100%,116%,86%
TAS,Energy,2033,2032,8,1/08/2032,all,Central,96.11,100%,96%,86%
TAS,Energy,2033,2032,9,1/09/2032,all,Central,65.21,100%,84%,93%
TAS,Energy,2033,2032,10,1/10/2032,all,Central,84.68,100%,85%,91%
TAS,Energy,2033,2032,11,1/11/2032,all,Central,69.54,100%,97%,99%
TAS,Energy,2033,2032,12,1/12/2032,all,Central,62.2,100%,97%,94%
TAS,Energy,2033,2033,1,1/01/2033,all,Central,96.82,100%,87%,96%
TAS,Energy,2033,2033,2,1/02/2033,all,Central,86.3,100%,79%,97%
TAS,Energy,2033,2033,3,1/03/2033,all,Central,106.47,100%,80%,92%
TAS,Energy,2033,2033,4,1/04/2033,all,Central,68.19,100%,102%,101%
TAS,Energy,2033,2033,5,1/05/2033,all,Central,46.56,100%,97%,98%
TAS,Energy,2033,2033,6,1/06/2033,all,Central,98.82,100%,99%,84%
TAS,Energy,2034,2033,7,1/07/2033,all,Central,119.75,100%,96%,88%
TAS,Energy,2034,2033,8,1/08/2033,all,Central,89.93,100%,90%,89%
TAS,Energy,2034,2033,9,1/09/2033,all,Central,62.02,100%,80%,94%
TAS,Energy,2034,2033,10,1/10/2033,all,Central,73.39,100%,91%,95%
TAS,Energy,2034,2033,11,1/11/2033,all,Central,61.91,100%,89%,96%
TAS,Energy,2034,2033,12,1/12/2033,all,Central,59.36,100%,95%,96%
TAS,Energy,2034,2034,1,1/01/2034,all,Central,106.77,100%,84%,94%
TAS,Energy,2034,2034,2,1/02/2034,all,Central,103.65,100%,81%,96%
TAS,Energy,2034,2034,3,1/03/2034,all,Central,134.9,100%,81%,93%
TAS,Energy,2034,2034,4,1/04/2034,all,Central,75.45,100%,80%,99%
TAS,Energy,2034,2034,5,1/05/2034,all,Central,50.58,100%,117%,101%
TAS,Energy,2034,2034,6,1/06/2034,all,Central,100.18,100%,102%,81%
TAS,Energy,2035,2034,7,1/07/2034,all,Central,112.72,100%,97%,88%
TAS,Energy,2035,2034,8,1/08/2034,all,Central,87.14,100%,91%,88%
TAS,Energy,2035,2034,9,1/09/2034,all,Central,59.2,100%,82%,94%
TAS,Energy,2035,2034,10,1/10/2034,all,Central,73.4,100%,92%,95%
TAS,Energy,2035,2034,11,1/11/2034,all,Central,59.23,100%,90%,97%
TAS,Energy,2035,2034,12,1/12/2034,all,Central,55.61,100%,97%,96%
TAS,Energy,2035,2035,1,1/01/2035,all,Central,99.67,100%,85%,93%
TAS,Energy,2035,2035,2,1/02/2035,all,Central,95.74,100%,82%,94%
TAS,Energy,2035,2035,3,1/03/2035,all,Central,127.95,100%,82%,92%
TAS,Energy,2035,2035,4,1/04/2035,all,Central,71.57,100%,83%,98%
TAS,Energy,2035,2035,5,1/05/2035,all,Central,47.38,100%,119%,100%
TAS,Energy,2035,2035,6,1/06/2035,all,Central,91.45,100%,102%,82%
TAS,Energy,2036,2035,7,1/07/2035,all,Central,130.19,100%,90%,87%
TAS,Energy,2036,2035,8,1/08/2035,all,Central,105.96,100%,86%,85%
TAS,Energy,2036,2035,9,1/09/2035,all,Central,70.3,100%,88%,89%
TAS,Energy,2036,2035,10,1/10/2035,all,Central,75.02,100%,94%,91%
TAS,Energy,2036,2035,11,1/11/2035,all,Central,56.97,100%,86%,96%
TAS,Energy,2036,2035,12,1/12/2035,all,Central,56.78,100%,92%,95%
TAS,Energy,2036,2036,1,1/01/2036,all,Central,122.25,100%,86%,95%
TAS,Energy,2036,2036,2,1/02/2036,all,Central,119.16,100%,75%,96%
TAS,Energy,2036,2036,3,1/03/2036,all,Central,148.18,100%,84%,89%
TAS,Energy,2036,2036,4,1/04/2036,all,Central,96.42,100%,74%,98%
TAS,Energy,2036,2036,5,1/05/2036,all,Central,70.09,100%,99%,96%
TAS,Energy,2036,2036,6,1/06/2036,all,Central,111.95,100%,116%,83%
TAS,Energy,2037,2036,7,1/07/2036,all,Central,122.56,100%,101%,84%
TAS,Energy,2037,2036,8,1/08/2036,all,Central,98.48,100%,93%,83%
TAS,Energy,2037,2036,9,1/09/2036,all,Central,65.99,100%,72%,92%
TAS,Energy,2037,2036,10,1/10/2036,all,Central,71.21,100%,84%,97%
TAS,Energy,2037,2036,11,1/11/2036,all,Central,52.83,100%,97%,99%
TAS,Energy,2037,2036,12,1/12/2036,all,Central,56.4,100%,92%,97%
TAS,Energy,2037,2037,1,1/01/2037,all,Central,121.19,100%,82%,93%
TAS,Energy,2037,2037,2,1/02/2037,all,Central,114.33,100%,72%,94%
TAS,Energy,2037,2037,3,1/03/2037,all,Central,148.2,100%,80%,87%
TAS,Energy,2037,2037,4,1/04/2037,all,Central,97.9,100%,89%,94%
TAS,Energy,2037,2037,5,1/05/2037,all,Central,51.77,100%,96%,93%
TAS,Energy,2037,2037,6,1/06/2037,all,Central,102.94,100%,118%,78%
TAS,Energy,2038,2037,7,1/07/2037,all,Central,121.27,100%,103%,83%
TAS,Energy,2038,2037,8,1/08/2037,all,Central,100.6,100%,95%,83%
TAS,Energy,2038,2037,9,1/09/2037,all,Central,63.76,100%,77%,93%
TAS,Energy,2038,2037,10,1/10/2037,all,Central,69.58,100%,86%,96%
TAS,Energy,2038,2037,11,1/11/2037,all,Central,52.09,100%,97%,101%
TAS,Energy,2038,2037,12,1/12/2037,all,Central,55.68,100%,93%,93%
TAS,Energy,2038,2038,1,1/01/2038,all,Central,120.2,100%,83%,92%
TAS,Energy,2038,2038,2,1/02/2038,all,Central,116.75,100%,71%,96%
TAS,Energy,2038,2038,3,1/03/2038,all,Central,159.94,100%,76%,88%
TAS,Energy,2038,2038,4,1/04/2038,all,Central,92.12,100%,85%,92%
TAS,Energy,2038,2038,5,1/05/2038,all,Central,50.54,100%,99%,93%
TAS,Energy,2038,2038,6,1/06/2038,all,Central,107.28,100%,115%,77%
TAS,Energy,2039,2038,7,1/07/2038,all,Central,125.54,100%,103%,84%
TAS,Energy,2039,2038,8,1/08/2038,all,Central,105.67,100%,107%,79%
TAS,Energy,2039,2038,9,1/09/2038,all,Central,70.49,100%,78%,96%
TAS,Energy,2039,2038,10,1/10/2038,all,Central,72.1,100%,87%,95%
TAS,Energy,2039,2038,11,1/11/2038,all,Central,57.23,100%,100%,100%
TAS,Energy,2039,2038,12,1/12/2038,all,Central,57.55,100%,96%,93%
TAS,Energy,2039,2039,1,1/01/2039,all,Central,124.16,100%,85%,91%
TAS,Energy,2039,2039,2,1/02/2039,all,Central,116.32,100%,78%,93%
TAS,Energy,2039,2039,3,1/03/2039,all,Central,151.6,100%,82%,86%
TAS,Energy,2039,2039,4,1/04/2039,all,Central,95.81,100%,85%,91%
TAS,Energy,2039,2039,5,1/05/2039,all,Central,56.2,100%,111%,93%
TAS,Energy,2039,2039,6,1/06/2039,all,Central,108.19,100%,119%,77%
TAS,Energy,2040,2039,7,1/07/2039,all,Central,113.65,100%,103%,78%
TAS,Energy,2040,2039,8,1/08/2039,all,Central,90.43,100%,107%,76%
TAS,Energy,2040,2039,9,1/09/2039,all,Central,61.22,100%,81%,92%
TAS,Energy,2040,2039,10,1/10/2039,all,Central,67.39,100%,92%,95%
TAS,Energy,2040,2039,11,1/11/2039,all,Central,48.92,100%,95%,100%
TAS,Energy,2040,2039,12,1/12/2039,all,Central,55.05,100%,92%,97%
TAS,Energy,2040,2040,1,1/01/2040,all,Central,126.97,100%,85%,88%
TAS,Energy,2040,2040,2,1/02/2040,all,Central,110.1,100%,76%,87%
TAS,Energy,2040,2040,3,1/03/2040,all,Central,149.3,100%,90%,79%
TAS,Energy,2040,2040,4,1/04/2040,all,Central,91.41,100%,102%,79%
TAS,Energy,2040,2040,5,1/05/2040,all,Central,55.31,100%,125%,88%
TAS,Energy,2040,2040,6,1/06/2040,all,Central,88.3,100%,143%,76%
TAS,Energy,2041,2040,7,1/07/2040,all,Central,117.77,100%,107%,79%
TAS,Energy,2041,2040,8,1/08/2040,all,Central,91.99,100%,95%,75%
TAS,Energy,2041,2040,9,1/09/2040,all,Central,64.77,100%,87%,88%
TAS,Energy,2041,2040,10,1/10/2040,all,Central,65.65,100%,90%,97%
TAS,Energy,2041,2040,11,1/11/2040,all,Central,49.15,100%,103%,103%
TAS,Energy,2041,2040,12,1/12/2040,all,Central,63.51,100%,94%,88%
TAS,Energy,2041,2041,1,1/01/2041,all,Central,122.78,100%,87%,87%
TAS,Energy,2041,2041,2,1/02/2041,all,Central,109.88,100%,76%,89%
TAS,Energy,2041,2041,3,1/03/2041,all,Central,143.34,100%,86%,81%
TAS,Energy,2041,2041,4,1/04/2041,all,Central,85.75,100%,90%,86%
TAS,Energy,2041,2041,5,1/05/2041,all,Central,43.55,100%,116%,88%
TAS,Energy,2041,2041,6,1/06/2041,all,Central,97.36,100%,133%,73%
TAS,Energy,2042,2041,7,1/07/2041,all,Central,110.95,100%,111%,79%
TAS,Energy,2042,2041,8,1/08/2041,all,Central,89.43,100%,94%,75%
TAS,Energy,2042,2041,9,1/09/2041,all,Central,72.19,100%,72%,89%
TAS,Energy,2042,2041,10,1/10/2041,all,Central,70.05,100%,84%,95%
TAS,Energy,2042,2041,11,1/11/2041,all,Central,51.56,100%,98%,103%
TAS,Energy,2042,2041,12,1/12/2041,all,Central,68.29,100%,90%,88%
TAS,Energy,2042,2042,1,1/01/2042,all,Central,121.45,100%,80%,87%
TAS,Energy,2042,2042,2,1/02/2042,all,Central,107.42,100%,75%,87%
TAS,Energy,2042,2042,3,1/03/2042,all,Central,140.32,100%,79%,81%
TAS,Energy,2042,2042,4,1/04/2042,all,Central,86.13,100%,92%,86%
TAS,Energy,2042,2042,5,1/05/2042,all,Central,45.92,100%,112%,92%
TAS,Energy,2042,2042,6,1/06/2042,all,Central,95.86,100%,126%,72%
TAS,Energy,2043,2042,7,1/07/2042,all,Central,112.2,100%,108%,80%
TAS,Energy,2043,2042,8,1/08/2042,all,Central,90.49,100%,93%,76%
TAS,Energy,2043,2042,9,1/09/2042,all,Central,70.63,100%,74%,88%
TAS,Energy,2043,2042,10,1/10/2042,all,Central,66.85,100%,86%,98%
TAS,Energy,2043,2042,11,1/11/2042,all,Central,50.75,100%,100%,105%
TAS,Energy,2043,2042,12,1/12/2042,all,Central,69.77,100%,90%,90%
TAS,Energy,2043,2043,1,1/01/2043,all,Central,118.69,100%,79%,87%
TAS,Energy,2043,2043,2,1/02/2043,all,Central,106.38,100%,74%,87%
TAS,Energy,2043,2043,3,1/03/2043,all,Central,138.86,100%,83%,82%
TAS,Energy,2043,2043,4,1/04/2043,all,Central,85.12,100%,85%,84%
TAS,Energy,2043,2043,5,1/05/2043,all,Central,49.65,100%,106%,87%
TAS,Energy,2043,2043,6,1/06/2043,all,Central,102.17,100%,121%,74%
TAS,Energy,2044,2043,7,1/07/2043,all,Central,111.66,100%,104%,79%
TAS,Energy,2044,2043,8,1/08/2043,all,Central,90.16,100%,96%,75%
TAS,Energy,2044,2043,9,1/09/2043,all,Central,70.37,100%,77%,89%
TAS,Energy,2044,2043,10,1/10/2043,all,Central,67.55,100%,84%,96%
TAS,Energy,2044,2043,11,1/11/2043,all,Central,49.49,100%,95%,100%
TAS,Energy,2044,2043,12,1/12/2043,all,Central,64.04,100%,94%,89%
TAS,Energy,2044,2044,1,1/01/2044,all,Central,121.95,100%,80%,88%
TAS,Energy,2044,2044,2,1/02/2044,all,Central,108.95,100%,71%,86%
TAS,Energy,2044,2044,3,1/03/2044,all,Central,143.52,100%,83%,81%
TAS,Energy,2044,2044,4,1/04/2044,all,Central,84.64,100%,80%,83%
TAS,Energy,2044,2044,5,1/05/2044,all,Central,55.5,100%,120%,86%
TAS,Energy,2044,2044,6,1/06/2044,all,Central,93.28,100%,137%,73%
TAS,Energy,2045,2044,7,1/07/2044,all,Central,117.54,100%,104%,79%
TAS,Energy,2045,2044,8,1/08/2044,all,Central,94.9,100%,106%,74%
TAS,Energy,2045,2044,9,1/09/2044,all,Central,74.63,100%,70%,88%
TAS,Energy,2045,2044,10,1/10/2044,all,Central,65.42,100%,87%,100%
TAS,Energy,2045,2044,11,1/11/2044,all,Central,51.11,100%,99%,106%
TAS,Energy,2045,2044,12,1/12/2044,all,Central,62.55,100%,92%,89%
TAS,Energy,2045,2045,1,1/01/2045,all,Central,120.84,100%,80%,87%
TAS,Energy,2045,2045,2,1/02/2045,all,Central,105.5,100%,78%,89%
TAS,Energy,2045,2045,3,1/03/2045,all,Central,134.65,100%,81%,82%
TAS,Energy,2045,2045,4,1/04/2045,all,Central,82.72,100%,86%,85%
TAS,Energy,2045,2045,5,1/05/2045,all,Central,48,100%,118%,88%
TAS,Energy,2045,2045,6,1/06/2045,all,Central,103.12,100%,121%,72%
TAS,Energy,2046,2045,7,1/07/2045,all,Central,116.59,100%,106%,79%
TAS,Energy,2046,2045,8,1/08/2045,all,Central,94.3,100%,90%,76%
TAS,Energy,2046,2045,9,1/09/2045,all,Central,74.64,100%,78%,88%
TAS,Energy,2046,2045,10,1/10/2045,all,Central,69.65,100%,83%,106%
TAS,Energy,2046,2045,11,1/11/2045,all,Central,53.04,100%,94%,105%
TAS,Energy,2046,2045,12,1/12/2045,all,Central,61.83,100%,89%,89%
TAS,Energy,2046,2046,1,1/01/2046,all,Central,120.83,100%,77%,88%
TAS,Energy,2046,2046,2,1/02/2046,all,Central,105.36,100%,71%,91%
TAS,Energy,2046,2046,3,1/03/2046,all,Central,133.91,100%,78%,82%
TAS,Energy,2046,2046,4,1/04/2046,all,Central,82.74,100%,82%,85%
TAS,Energy,2046,2046,5,1/05/2046,all,Central,49.28,100%,118%,86%
TAS,Energy,2046,2046,6,1/06/2046,all,Central,105.18,100%,124%,73%
TAS,Energy,2047,2046,7,1/07/2046,all,Central,118.83,100%,103%,79%
TAS,Energy,2047,2046,8,1/08/2046,all,Central,95.98,100%,88%,76%
TAS,Energy,2047,2046,9,1/09/2046,all,Central,78.11,100%,81%,88%
TAS,Energy,2047,2046,10,1/10/2046,all,Central,71.8,100%,81%,105%
TAS,Energy,2047,2046,11,1/11/2046,all,Central,55.17,100%,91%,105%
TAS,Energy,2047,2046,12,1/12/2046,all,Central,62.62,100%,89%,89%
TAS,Energy,2047,2047,1,1/01/2047,all,Central,119.69,100%,76%,88%
TAS,Energy,2047,2047,2,1/02/2047,all,Central,105.18,100%,70%,92%
TAS,Energy,2047,2047,3,1/03/2047,all,Central,133.83,100%,77%,83%
TAS,Energy,2047,2047,4,1/04/2047,all,Central,83.32,100%,81%,86%
TAS,Energy,2047,2047,5,1/05/2047,all,Central,48.63,100%,121%,88%
TAS,Energy,2047,2047,6,1/06/2047,all,Central,108.66,100%,123%,74%
TAS,Energy,2048,2047,7,1/07/2047,all,Central,129.82,100%,93%,79%
TAS,Energy,2048,2047,8,1/08/2047,all,Central,95.75,100%,91%,75%
TAS,Energy,2048,2047,9,1/09/2047,all,Central,77.56,100%,80%,87%
TAS,Energy,2048,2047,10,1/10/2047,all,Central,63.45,100%,87%,99%
TAS,Energy,2048,2047,11,1/11/2047,all,Central,50.3,100%,87%,101%
TAS,Energy,2048,2047,12,1/12/2047,all,Central,57.43,100%,86%,94%
TAS,Energy,2048,2048,1,1/01/2048,all,Central,117.9,100%,82%,89%
TAS,Energy,2048,2048,2,1/02/2048,all,Central,100.37,100%,69%,88%
TAS,Energy,2048,2048,3,1/03/2048,all,Central,137.58,100%,85%,80%
TAS,Energy,2048,2048,4,1/04/2048,all,Central,85.55,100%,77%,83%
TAS,Energy,2048,2048,5,1/05/2048,all,Central,59.11,100%,116%,84%
TAS,Energy,2048,2048,6,1/06/2048,all,Central,99.93,100%,132%,73%
TAS,Energy,2049,2048,7,1/07/2048,all,Central,124.99,100%,104%,80%
TAS,Energy,2049,2048,8,1/08/2048,all,Central,100,100%,87%,76%
TAS,Energy,2049,2048,9,1/09/2048,all,Central,79.54,100%,79%,86%
TAS,Energy,2049,2048,10,1/10/2048,all,Central,68.48,100%,80%,96%
TAS,Energy,2049,2048,11,1/11/2048,all,Central,53.03,100%,103%,107%
TAS,Energy,2049,2048,12,1/12/2048,all,Central,58.96,100%,88%,91%
TAS,Energy,2049,2049,1,1/01/2049,all,Central,116.89,100%,74%,90%
TAS,Energy,2049,2049,2,1/02/2049,all,Central,102.69,100%,72%,88%
TAS,Energy,2049,2049,3,1/03/2049,all,Central,132.3,100%,77%,83%
TAS,Energy,2049,2049,4,1/04/2049,all,Central,86.96,100%,82%,84%
TAS,Energy,2049,2049,5,1/05/2049,all,Central,50.77,100%,108%,87%
TAS,Energy,2049,2049,6,1/06/2049,all,Central,116.38,100%,119%,73%
TAS,Energy,2050,2049,7,1/07/2049,all,Central,119.45,100%,100%,78%
TAS,Energy,2050,2049,8,1/08/2049,all,Central,97.18,100%,87%,74%
TAS,Energy,2050,2049,9,1/09/2049,all,Central,75.59,100%,81%,84%
TAS,Energy,2050,2049,10,1/10/2049,all,Central,59.67,100%,83%,98%
TAS,Energy,2050,2049,11,1/11/2049,all,Central,45.39,100%,109%,108%
TAS,Energy,2050,2049,12,1/12/2049,all,Central,54.57,100%,90%,89%
TAS,Energy,2050,2050,1,1/01/2050,all,Central,113.19,100%,75%,90%
TAS,Energy,2050,2050,2,1/02/2050,all,Central,98.77,100%,72%,89%
TAS,Energy,2050,2050,3,1/03/2050,all,Central,129.56,100%,75%,83%
TAS,Energy,2050,2050,4,1/04/2050,all,Central,83.71,100%,81%,82%
TAS,Energy,2050,2050,5,1/05/2050,all,Central,48.95,100%,107%,85%
TAS,Energy,2050,2050,6,1/06/2050,all,Central,112.21,100%,120%,71%
TAS,Energy,2051,2050,7,1/07/2050,all,Central,121.09,100%,99%,79%
TAS,Energy,2051,2050,8,1/08/2050,all,Central,98.16,100%,86%,74%
TAS,Energy,2051,2050,9,1/09/2050,all,Central,76.02,100%,81%,85%
TAS,Energy,2051,2050,10,1/10/2050,all,Central,60.41,100%,80%,97%
TAS,Energy,2051,2050,11,1/11/2050,all,Central,45.49,100%,108%,108%
TAS,Energy,2051,2050,12,1/12/2050,all,Central,54.48,100%,90%,90%
TAS,Energy,2051,2051,1,1/01/2051,all,Central,112.37,100%,73%,90%
TAS,Energy,2051,2051,2,1/02/2051,all,Central,99.59,100%,70%,88%
TAS,Energy,2051,2051,3,1/03/2051,all,Central,128.92,100%,74%,83%
TAS,Energy,2051,2051,4,1/04/2051,all,Central,84.48,100%,80%,83%
TAS,Energy,2051,2051,5,1/05/2051,all,Central,49.95,100%,104%,85%
TAS,Energy,2051,2051,6,1/06/2051,all,Central,113.61,100%,119%,71%
TAS,Energy,2052,2051,7,1/07/2051,all,Central,117.36,100%,94%,78%
TAS,Energy,2052,2051,8,1/08/2051,all,Central,95.67,100%,87%,75%
TAS,Energy,2052,2051,9,1/09/2051,all,Central,74.52,100%,86%,85%
TAS,Energy,2052,2051,10,1/10/2051,all,Central,59.32,100%,102%,101%
TAS,Energy,2052,2051,11,1/11/2051,all,Central,44.02,100%,88%,107%
TAS,Energy,2052,2051,12,1/12/2051,all,Central,54.24,100%,85%,96%
TAS,Energy,2052,2052,1,1/01/2052,all,Central,112.98,100%,80%,90%
TAS,Energy,2052,2052,2,1/02/2052,all,Central,99.76,100%,61%,88%
TAS,Energy,2052,2052,3,1/03/2052,all,Central,129.22,100%,75%,82%
TAS,Energy,2052,2052,4,1/04/2052,all,Central,80.34,100%,71%,83%
TAS,Energy,2052,2052,5,1/05/2052,all,Central,59.56,100%,109%,83%
TAS,Energy,2052,2052,6,1/06/2052,all,Central,103.3,100%,125%,72%
TAS,Energy,2053,2052,7,1/07/2052,all,Central,121.14,100%,99%,79%
TAS,Energy,2053,2052,8,1/08/2052,all,Central,97.38,100%,83%,75%
TAS,Energy,2053,2052,9,1/09/2052,all,Central,77.02,100%,86%,84%
TAS,Energy,2053,2052,10,1/10/2052,all,Central,58.93,100%,84%,99%
TAS,Energy,2053,2052,11,1/11/2052,all,Central,43.37,100%,97%,107%
TAS,Energy,2053,2052,12,1/12/2052,all,Central,55.56,100%,87%,92%
TAS,Energy,2053,2053,1,1/01/2053,all,Central,107.43,100%,73%,89%
TAS,Energy,2053,2053,2,1/02/2053,all,Central,95.69,100%,63%,90%
TAS,Energy,2053,2053,3,1/03/2053,all,Central,129.64,100%,74%,83%
TAS,Energy,2053,2053,4,1/04/2053,all,Central,82.42,100%,74%,85%
TAS,Energy,2053,2053,5,1/05/2053,all,Central,55.37,100%,97%,86%
TAS,Energy,2053,2053,6,1/06/2053,all,Central,115.88,100%,115%,73%
TAS,Energy,2054,2053,7,1/07/2053,all,Central,121.43,100%,99%,80%
TAS,Energy,2054,2053,8,1/08/2053,all,Central,99.01,100%,78%,75%
TAS,Energy,2054,2053,9,1/09/2053,all,Central,83.02,100%,80%,86%
TAS,Energy,2054,2053,10,1/10/2053,all,Central,60.05,100%,80%,101%
TAS,Energy,2054,2053,11,1/11/2053,all,Central,43.14,100%,100%,108%
TAS,Energy,2054,2053,12,1/12/2053,all,Central,55.01,100%,95%,88%
TAS,Energy,2054,2054,1,1/01/2054,all,Central,108.39,100%,72%,89%
TAS,Energy,2054,2054,2,1/02/2054,all,Central,94.38,100%,62%,91%
TAS,Energy,2054,2054,3,1/03/2054,all,Central,128.96,100%,70%,83%
TAS,Energy,2054,2054,4,1/04/2054,all,Central,79.57,100%,76%,86%
TAS,Energy,2054,2054,5,1/05/2054,all,Central,51.27,100%,104%,84%
TAS,Energy,2054,2054,6,1/06/2054,all,Central,117.64,100%,115%,69%
TAS,Energy,2055,2054,7,1/07/2054,all,Central,122.39,100%,99%,79%
TAS,Energy,2055,2054,8,1/08/2054,all,Central,99.73,100%,78%,75%
TAS,Energy,2055,2054,9,1/09/2054,all,Central,83.61,100%,81%,86%
TAS,Energy,2055,2054,10,1/10/2054,all,Central,60.75,100%,79%,101%
TAS,Energy,2055,2054,11,1/11/2054,all,Central,43.41,100%,99%,108%
TAS,Energy,2055,2054,12,1/12/2054,all,Central,55.09,100%,97%,88%
TAS,Energy,2055,2055,1,1/01/2055,all,Central,106.97,100%,72%,89%
TAS,Energy,2055,2055,2,1/02/2055,all,Central,94.44,100%,62%,91%
TAS,Energy,2055,2055,3,1/03/2055,all,Central,128.85,100%,71%,84%
TAS,Energy,2055,2055,4,1/04/2055,all,Central,79.8,100%,75%,85%
TAS,Energy,2055,2055,5,1/05/2055,all,Central,51.98,100%,103%,84%
TAS,Energy,2055,2055,6,1/06/2055,all,Central,118.87,100%,116%,69%
TAS,Energy,2056,2055,7,1/07/2055,all,Central,123.05,100%,90%,78%
TAS,Energy,2056,2055,8,1/08/2055,all,Central,99.54,100%,80%,77%
TAS,Energy,2056,2055,9,1/09/2055,all,Central,74.43,100%,80%,85%
TAS,Energy,2056,2055,10,1/10/2055,all,Central,56.71,100%,85%,98%
TAS,Energy,2056,2055,11,1/11/2055,all,Central,41.09,100%,92%,103%
TAS,Energy,2056,2055,12,1/12/2055,all,Central,53.82,100%,91%,93%
TAS,Energy,2056,2056,1,1/01/2056,all,Central,101.11,100%,77%,90%
TAS,Energy,2056,2056,2,1/02/2056,all,Central,95.68,100%,63%,88%
TAS,Energy,2056,2056,3,1/03/2056,all,Central,128.73,100%,76%,83%
TAS,Energy,2056,2056,4,1/04/2056,all,Central,79.97,100%,70%,83%
TAS,Energy,2056,2056,5,1/05/2056,all,Central,66.15,100%,105%,80%
TAS,Energy,2056,2056,6,1/06/2056,all,Central,108.62,100%,146%,68%
TAS,Energy,2057,2056,7,1/07/2056,all,Central,123.19,100%,99%,79%
TAS,Energy,2057,2056,8,1/08/2056,all,Central,101.14,100%,80%,75%
TAS,Energy,2057,2056,9,1/09/2056,all,Central,82.99,100%,79%,85%
TAS,Energy,2057,2056,10,1/10/2056,all,Central,60.39,100%,78%,100%
TAS,Energy,2057,2056,11,1/11/2056,all,Central,43.25,100%,99%,108%
TAS,Energy,2057,2056,12,1/12/2056,all,Central,54.99,100%,96%,87%
TAS,Energy,2057,2057,1,1/01/2057,all,Central,101.06,100%,73%,89%
TAS,Energy,2057,2057,2,1/02/2057,all,Central,94.38,100%,61%,91%
TAS,Energy,2057,2057,3,1/03/2057,all,Central,129.19,100%,70%,84%
TAS,Energy,2057,2057,4,1/04/2057,all,Central,80.23,100%,75%,85%
TAS,Energy,2057,2057,5,1/05/2057,all,Central,52.48,100%,104%,83%
TAS,Energy,2057,2057,6,1/06/2057,all,Central,120.42,100%,117%,69%
TAS,Energy,2058,2057,7,1/07/2057,all,Central,123.21,100%,100%,80%
TAS,Energy,2058,2057,8,1/08/2057,all,Central,101.07,100%,81%,74%
TAS,Energy,2058,2057,9,1/09/2057,all,Central,82.68,100%,79%,86%
TAS,Energy,2058,2057,10,1/10/2057,all,Central,59.86,100%,79%,101%
TAS,Energy,2058,2057,11,1/11/2057,all,Central,42.85,100%,100%,107%
TAS,Energy,2058,2057,12,1/12/2057,all,Central,54.37,100%,97%,88%
TAS,Energy,2058,2058,1,1/01/2058,all,Central,99.16,100%,72%,89%
TAS,Energy,2058,2058,2,1/02/2058,all,Central,93.32,100%,60%,91%
TAS,Energy,2058,2058,3,1/03/2058,all,Central,128.19,100%,70%,84%
TAS,Energy,2058,2058,4,1/04/2058,all,Central,79.93,100%,75%,84%
