profile,type,state,year,price,source
solar,green,NSW,2030,13,forecast
solar,green,VIC,2030,13,forecast
solar,green,QLD,2030,13,forecast
solar,green,SA,2030,13,forecast
wind,Energy,NSW,2030,84,forecast
wind,Energy,VIC,2030,77,forecast
wind,Energy,QLD,2030,75,forecast
wind,Energy,SA,2030,75,forecast
wind,green,NSW,2030,13,forecast
wind,green,VIC,2030,13,forecast
wind,green,QLD,2030,13,forecast
wind,green,SA,2030,13,forecast
baseload,Energy,NSW,2031,78,forecast
baseload,Energy,VIC,2031,85,forecast
baseload,Energy,QLD,2031,76,forecast
baseload,Energy,SA,2031,91,forecast
solar,Energy,NSW,2031,52,forecast
solar,Energy,VIC,2031,54,forecast
solar,Energy,QLD,2031,42,forecast
solar,Energy,SA,2031,57,forecast
solar,green,NSW,2031,11,forecast
solar,green,VIC,2031,11,forecast
solar,green,QLD,2031,11,forecast
solar,green,SA,2031,11,forecast
wind,Energy,NSW,2031,75,forecast
wind,Energy,VIC,2031,72,forecast
wind,Energy,QLD,2031,77,forecast
wind,Energy,SA,2031,74,forecast
wind,green,NSW,2031,11,forecast
wind,green,VIC,2031,11,forecast
wind,green,QLD,2031,11,forecast
wind,green,SA,2031,11,forecast
baseload,Energy,NSW,2032,89,forecast
baseload,Energy,VIC,2032,87,forecast
baseload,Energy,QLD,2032,79,forecast
baseload,Energy,SA,2032,93,forecast
solar,Energy,NSW,2032,56,forecast
solar,Energy,VIC,2032,57,forecast
solar,Energy,QLD,2032,51,forecast
solar,Energy,SA,2032,58,forecast
solar,green,NSW,2032,10,forecast
solar,green,VIC,2032,10,forecast
solar,green,QLD,2032,10,forecast
solar,green,SA,2032,10,forecast
wind,Energy,NSW,2032,87,forecast
wind,Energy,VIC,2032,75,forecast
wind,Energy,QLD,2032,78,forecast
wind,Energy,SA,2032,77,forecast
wind,green,NSW,2032,10,forecast
wind,green,VIC,2032,10,forecast
wind,green,QLD,2032,10,forecast
wind,green,SA,2032,10,forecast
baseload,Energy,NSW,2033,90,forecast
baseload,Energy,VIC,2033,87,forecast
baseload,Energy,QLD,2033,87,forecast
baseload,Energy,SA,2033,95,forecast
solar,Energy,NSW,2033,57,forecast
solar,Energy,VIC,2033,57,forecast
solar,Energy,QLD,2033,55,forecast
solar,Energy,SA,2033,57,forecast
solar,green,NSW,2033,8,forecast
solar,green,VIC,2033,8,forecast
solar,green,QLD,2033,8,forecast
solar,green,SA,2033,8,forecast
wind,Energy,NSW,2033,84,forecast
wind,Energy,VIC,2033,74,forecast
wind,Energy,QLD,2033,85,forecast
wind,Energy,SA,2033,77,forecast
wind,green,NSW,2033,8,forecast
wind,green,VIC,2033,8,forecast
wind,green,QLD,2033,8,forecast
wind,green,SA,2033,8,forecast
baseload,Energy,NSW,2034,99,forecast
baseload,Energy,VIC,2034,94,forecast
baseload,Energy,QLD,2034,94,forecast
baseload,Energy,SA,2034,102,forecast
solar,Energy,NSW,2034,64,forecast
solar,Energy,VIC,2034,60,forecast
solar,Energy,QLD,2034,57,forecast
solar,Energy,SA,2034,64,forecast
solar,green,NSW,2034,7,forecast
solar,green,VIC,2034,7,forecast
solar,green,QLD,2034,7,forecast
solar,green,SA,2034,7,forecast
wind,Energy,NSW,2034,91,forecast
wind,Energy,VIC,2034,78,forecast
wind,Energy,QLD,2034,93,forecast
wind,Energy,SA,2034,85,forecast
wind,green,NSW,2034,7,forecast
wind,green,VIC,2034,7,forecast
wind,green,QLD,2034,7,forecast
wind,green,SA,2034,7,forecast
baseload,Energy,NSW,2035,102,forecast
baseload,Energy,VIC,2035,100,forecast
baseload,Energy,QLD,2035,93,forecast
baseload,Energy,SA,2035,100,forecast
solar,Energy,NSW,2035,61,forecast
solar,Energy,VIC,2035,59,forecast
solar,Energy,QLD,2035,56,forecast
solar,Energy,SA,2035,58,forecast
solar,green,NSW,2035,6,forecast
solar,green,VIC,2035,6,forecast
