DUID,Station Name,Region,Dispatch Type,Fuel Source - Primary,Reg Cap generation (MW),2024-25 MLF,2023-24 MLF,StartDate
OAKEY1SF,Oakey 1 Solar Farm,QLD1,Generating Unit,Solar,30,0.981,0.9869,1/08/2019
OAKEY2SF,Oakey 2 Solar Farm,QLD1,Generating Unit,Solar,65,0.981,0.9869,1/04/2022
OAKLAND1,Oaklands Hill Wind Farm,VIC1,Generating Unit,Wind,67,0.9993,0.9933,
PARSF1,Parkes Solar Farm,NSW1,Generating Unit,Solar,55,0.8969,0.9,
PAREPS1,Port Augusta Renewable Energy Park,SA1,Generating Unit,Solar,99,0.9608,0.9654,1/01/2023
PAREPW1,Port Augusta Renewable Energy Park,SA1,Generating Unit,Wind,210,0.9608,0.9654,
-,Portland Wind Farm,VIC1,Generating Unit,Wind,148,,,
RRSF1,Ross River Solar Farm,QLD1,Generating Unit,Solar,128,0.9385,0.9222,
ROYALLA1,Royalla Solar Farm,NSW1,Generating Unit,Solar,20,0.9515,0.9668,
RUGBYR1,Rugby Run Solar Farm,QLD1,Generating Unit,Solar,83,0.9397,0.9185,1/10/2020
RYANCWF1,Ryan Corner Wind Farm,VIC1,Generating Unit,Wind,218.4,0.9787,,1/10/2024
RYEPARK1,Rye Park Renewable Energy,NSW1,Generating Unit,Wind,396,0.9427,0.9544,1/12/2024
SALTCRK1,Salt Creek Wind Farm,VIC1,Generating Unit,Wind,54,0.9388,0.9476,
SAPHWF1,Sapphire Wind Farm,NSW1,Generating Unit,Wind,270,0.9012,0.9086,
SEBSF1,Sebastopol Solar Farm,NSW1,Generating Unit,Solar,110,0.8752,0.9108,1/01/2023
STWF1,Silverton Wind Farm,NSW1,Generating Unit,Wind,198.94,0.805,0.8101,1/12/2020
SNOWSTH1,Snowtown South Wind Farm,SA1,Generating Unit,Wind,126,0.9613,0.9638,
SNOWNTH1,Snowtown Wind Farm Stage 2 North,SA1,Generating Unit,Wind,144,0.9613,0.9638,
SNOWTWN1,Snowtown Wind Farm Units 1 And 47,SA1,Generating Unit,Wind,99,0.8932,0.8968,
SKSF1,South Keswick Solar Farm,NSW1,Generating Unit,Solar,15,0.9284,0.9439,
STARHLWF,Starfish Hill Wind Farm,SA1,Generating Unit,Wind,34.5,1.0025,1.0039,
STOCKYD1,Stockyard Hill Wind Farm,VIC1,Generating Unit,Wind,531,0.9812,0.9869,1/05/2022
SMCSF1,Sun Metals Solar Farm,QLD1,Generating Unit,Solar,143,1.0159,0.9979,
SUNRSF1,SUNRAYSIA SF,NSW1,Generating Unit,Solar,228,0.7774,0.8255,1/12/2021
SUNTPSF1,Suntop Solar Farm,NSW1,Generating Unit,Solar,175,0.9096,0.9224,1/12/2021
SRSF1,Susan River Solar Farm,QLD1,Generating Unit,Solar,85.26,0.9828,0.9704,1/12/2019
TB2SF1,Tailem Bend 2 Hybrid Renewable Power Station,SA1,Generating Unit,Solar,105,1.0102,1.0079,1/09/2023
TBSF1,Tailem Bend Solar Project 1,SA1,Generating Unit,Solar,108,1.009,1.003,1/04/2019
TARALGA1,Taralga Wind Farm,NSW1,Generating Unit,Wind,106.8,1.0088,1.0095,
BLUFF1,The Bluff Wind Farm,SA1,Generating Unit,Wind,52.5,0.9467,0.9508,
TIMWEST,Timboon West Wind Farm,VIC1,Generating Unit,Wind,7.2,0.9993,0.9933,1/12/2018
TOORAWF,Toora Wind Farm,VIC1,Generating Unit,Wind,21,0.9848,0.9825,
VALDORA1,Valdora Solar Farm,QLD1,Generating Unit,Solar,15,1.0145,1.013,
WAGGNSF1,Wagga North Solar Farm,NSW1,Generating Unit,Solar,55,0.872,0.907,
WLWLSF1,Walla Walla Solar Farm 1,NSW1,Generating Unit,Solar,201.6,0.8853,,1/03/2025
WLWLSF2,Walla Walla Solar Farm 2,NSW1,Generating Unit,Solar,201.6,0.8853,,1/03/2025
WANDSF1,Wandoan Solar Farm 1,QLD1,Generating Unit,Solar,159,0.9785,0.9832,1/08/2023
WARWSF1,Warwick Solar Farm 1 ,QLD1,Generating Unit,Solar,39,0.9847,0.9914,1/04/2023
WARWSF2,Warwick Solar Farm 2,QLD1,Generating Unit,Solar,39,0.9847,0.9914,1/04/2023
WATERLWF,Waterloo Wind Farm,SA1,Generating Unit,Wind,130.8,0.9547,0.9599,
