profile,type,state,time,price,source
baseload,Energy,VIC,1/01/2028,87,forecast
baseload,Energy,QLD,1/01/2028,82,forecast
baseload,Energy,SA,1/01/2028,86,forecast
solar,Energy,NSW,1/01/2028,55,forecast
solar,Energy,VIC,1/01/2028,51,forecast
solar,Energy,QLD,1/01/2028,32,forecast
solar,Energy,SA,1/01/2028,50,forecast
solar,green,NSW,1/01/2028,19,forecast
solar,green,VIC,1/01/2028,19,forecast
solar,green,QLD,1/01/2028,19,forecast
solar,green,SA,1/01/2028,19,forecast
wind,Energy,NSW,1/01/2028,95,forecast
wind,Energy,VIC,1/01/2028,65,forecast
wind,Energy,QLD,1/01/2028,83,forecast
wind,Energy,SA,1/01/2028,68,forecast
wind,green,NSW,1/01/2028,19,forecast
wind,green,VIC,1/01/2028,19,forecast
wind,green,QLD,1/01/2028,19,forecast
wind,green,SA,1/01/2028,19,forecast
baseload,Energy,NSW,1/01/2029,103,forecast
baseload,Energy,VIC,1/01/2029,101,forecast
baseload,Energy,QLD,1/01/2029,79,forecast
baseload,Energy,SA,1/01/2029,100,forecast
solar,Energy,NSW,1/01/2029,51,forecast
solar,Energy,VIC,1/01/2029,57,forecast
solar,Energy,QLD,1/01/2029,28,forecast
solar,Energy,SA,1/01/2029,59,forecast
solar,green,NSW,1/01/2029,15,forecast
solar,green,VIC,1/01/2029,15,forecast
solar,green,QLD,1/01/2029,15,forecast
solar,green,SA,1/01/2029,15,forecast
wind,Energy,NSW,1/01/2029,97,forecast
wind,Energy,VIC,1/01/2029,79,forecast
wind,Energy,QLD,1/01/2029,81,forecast
wind,Energy,SA,1/01/2029,80,forecast
wind,green,NSW,1/01/2029,15,forecast
wind,green,VIC,1/01/2029,15,forecast
wind,green,QLD,1/01/2029,15,forecast
wind,green,SA,1/01/2029,15,forecast
baseload,Energy,NSW,1/01/2030,90,forecast
baseload,Energy,VIC,1/01/2030,94,forecast
baseload,Energy,QLD,1/01/2030,76,forecast
baseload,Energy,SA,1/01/2030,95,forecast
solar,Energy,NSW,1/01/2030,48,forecast
solar,Energy,VIC,1/01/2030,52,forecast
solar,Energy,QLD,1/01/2030,29,forecast
solar,Energy,SA,1/01/2030,55,forecast
solar,green,NSW,1/01/2030,13,forecast
solar,green,VIC,1/01/2030,13,forecast
solar,green,QLD,1/01/2030,13,forecast
solar,green,SA,1/01/2030,13,forecast
wind,Energy,NSW,1/01/2030,84,forecast
wind,Energy,VIC,1/01/2030,77,forecast
wind,Energy,QLD,1/01/2030,75,forecast
wind,Energy,SA,1/01/2030,75,forecast
wind,green,NSW,1/01/2030,13,forecast
wind,green,VIC,1/01/2030,13,forecast
wind,green,QLD,1/01/2030,13,forecast
wind,green,SA,1/01/2030,13,forecast
baseload,Energy,NSW,1/01/2031,78,forecast
baseload,Energy,VIC,1/01/2031,85,forecast
baseload,Energy,QLD,1/01/2031,76,forecast
baseload,Energy,SA,1/01/2031,91,forecast
solar,Energy,NSW,1/01/2031,52,forecast
solar,Energy,VIC,1/01/2031,54,forecast
solar,Energy,QLD,1/01/2031,42,forecast
solar,Energy,SA,1/01/2031,57,forecast
solar,green,NSW,1/01/2031,11,forecast
solar,green,VIC,1/01/2031,11,forecast
solar,green,QLD,1/01/2031,11,forecast
solar,green,SA,1/01/2031,11,forecast
wind,Energy,NSW,1/01/2031,75,forecast
wind,Energy,VIC,1/01/2031,72,forecast
wind,Energy,QLD,1/01/2031,77,forecast
wind,Energy,SA,1/01/2031,74,forecast
wind,green,NSW,1/01/2031,11,forecast
wind,green,VIC,1/01/2031,11,forecast
wind,green,QLD,1/01/2031,11,forecast
wind,green,SA,1/01/2031,11,forecast
baseload,Energy,NSW,1/01/2032,89,forecast
baseload,Energy,VIC,1/01/2032,87,forecast
baseload,Energy,QLD,1/01/2032,79,forecast
baseload,Energy,SA,1/01/2032,93,forecast
solar,Energy,NSW,1/01/2032,56,forecast
solar,Energy,VIC,1/01/2032,57,forecast
solar,Energy,QLD,1/01/2032,51,forecast
solar,Energy,SA,1/01/2032,58,forecast
solar,green,NSW,1/01/2032,10,forecast
solar,green,VIC,1/01/2032,10,forecast
solar,green,QLD,1/01/2032,10,forecast
solar,green,SA,1/01/2032,10,forecast
wind,Energy,NSW,1/01/2032,87,forecast
wind,Energy,VIC,1/01/2032,75,forecast
wind,Energy,QLD,1/01/2032,78,forecast
wind,Energy,SA,1/01/2032,77,forecast
wind,green,NSW,1/01/2032,10,forecast
wind,green,VIC,1/01/2032,10,forecast
wind,green,QLD,1/01/2032,10,forecast
wind,green,SA,1/01/2032,10,forecast
baseload,Energy,NSW,1/01/2033,90,forecast
baseload,Energy,VIC,1/01/2033,87,forecast
baseload,Energy,QLD,1/01/2033,87,forecast
baseload,Energy,SA,1/01/2033,95,forecast
solar,Energy,NSW,1/01/2033,57,forecast
solar,Energy,VIC,1/01/2033,57,forecast
solar,Energy,QLD,1/01/2033,55,forecast
solar,Energy,SA,1/01/2033,57,forecast
solar,green,NSW,1/01/2033,8,forecast
solar,green,VIC,1/01/2033,8,forecast
solar,green,QLD,1/01/2033,8,forecast
solar,green,SA,1/01/2033,8,forecast
wind,Energy,NSW,1/01/2033,84,forecast
wind,Energy,VIC,1/01/2033,74,forecast
wind,Energy,QLD,1/01/2033,85,forecast
wind,Energy,SA,1/01/2033,77,forecast
wind,green,NSW,1/01/2033,8,forecast
wind,green,VIC,1/01/2033,8,forecast
wind,green,QLD,1/01/2033,8,forecast
wind,green,SA,1/01/2033,8,forecast
baseload,Energy,NSW,1/01/2034,99,forecast
baseload,Energy,VIC,1/01/2034,94,forecast
baseload,Energy,QLD,1/01/2034,94,forecast
baseload,Energy,SA,1/01/2034,102,forecast
solar,Energy,NSW,1/01/2034,64,forecast
solar,Energy,VIC,1/01/2034,60,forecast
solar,Energy,QLD,1/01/2034,57,forecast
solar,Energy,SA,1/01/2034,64,forecast
solar,green,NSW,1/01/2034,7,forecast
solar,green,VIC,1/01/2034,7,forecast
solar,green,QLD,1/01/2034,7,forecast
solar,green,SA,1/01/2034,7,forecast
wind,Energy,NSW,1/01/2034,91,forecast
wind,Energy,VIC,1/01/2034,78,forecast
wind,Energy,QLD,1/01/2034,93,forecast
wind,Energy,SA,1/01/2034,85,forecast
wind,green,NSW,1/01/2034,7,forecast
wind,green,VIC,1/01/2034,7,forecast
wind,green,QLD,1/01/2034,7,forecast
wind,green,SA,1/01/2034,7,forecast
baseload,Energy,NSW,1/01/2035,102,forecast
baseload,Energy,VIC,1/01/2035,100,forecast
baseload,Energy,QLD,1/01/2035,93,forecast
baseload,Energy,SA,1/01/2035,100,forecast
solar,Energy,NSW,1/01/2035,61,forecast
solar,Energy,VIC,1/01/2035,59,forecast
solar,Energy,QLD,1/01/2035,56,forecast
solar,Energy,SA,1/01/2035,58,forecast
solar,green,NSW,1/01/2035,6,forecast
solar,green,VIC,1/01/2035,6,forecast
solar,green,QLD,1/01/2035,6,forecast
solar,green,SA,1/01/2035,6,forecast
wind,Energy,NSW,1/01/2035,94,forecast
wind,Energy,VIC,1/01/2035,78,forecast
wind,Energy,QLD,1/01/2035,89,forecast
wind,Energy,SA,1/01/2035,82,forecast
wind,green,NSW,1/01/2035,6,forecast
wind,green,VIC,1/01/2035,6,forecast
wind,green,QLD,1/01/2035,6,forecast
wind,green,SA,1/01/2035,6,forecast
baseload,Energy,NSW,1/01/2036,111,forecast
baseload,Energy,VIC,1/01/2036,110,forecast
baseload,Energy,QLD,1/01/2036,110,forecast
baseload,Energy,SA,1/01/2036,114,forecast
solar,Energy,NSW,1/01/2036,64,forecast
